search,non_terminals,derivation_rules,time,programs,queue,bank,seed
heap_search,8,23,42.877842975,1000000,4,2000001,2
cd4,8,23,12.0027141816,1000000,2,2000004,2
cd16,8,23,11.789304834872297,1000000,2,2000019,2
cd64,8,23,11.631613470639536,1000000,2,2000028,2
bee_search,10,29,28.872219561566034,1000000,4,6204087,2
beap_search,10,29,15.63498284231771,1000000,2,1999999,2
heap_search,10,29,43.086418244444445,1000000,6,2000002,2
cd4,10,29,12.609960356617647,1000000,2,2000016,2
cd16,10,29,12.084597268378651,1000000,2,2000009,2
cd64,10,29,11.813734264566929,1000000,2,2000011,2
bee_search,12,35,31.945769733381542,1000000,5,7170801,2
beap_search,12,35,15.919947075862071,1000000,2,2000001,2
heap_search,12,35,43.737147263636366,1000000,7,2000003,2
cd4,12,35,13.091522906652127,1000000,3,2000006,2
cd16,12,35,12.521603121793536,1000000,3,2000001,2
cd64,12,35,12.945484699137001,1000000,3,2000002,2
bee_search,22,65,52.06291687588282,1000000,18,12829532,2
beap_search,22,65,23.0909772275,1000000,8,1999999,2
heap_search,22,65,45.219664892105264,1000000,15,2000007,2
cd4,22,65,17.18173089969979,1000000,9,2000000,2
cd16,22,65,15.984770838748338,1000000,8,1999999,2
cd64,22,65,16.843166372230012,1000000,8,2000000,2
bee_search,4,11,17.726370158641064,1000000,0,3404830,3
beap_search,4,11,12.607482568592438,1000000,0,2000076,3
heap_search,4,11,41.43294643,1000000,1,2000000,3
cd4,4,11,12.236973076087544,1000000,1,2000680,3
cd16,4,11,11.421683246336821,1000000,0,2000660,3
cd64,4,11,11.422795520456708,1000000,0,2000660,3
bee_search,6,17,20.56826250212005,1000000,1,4328329,3
beap_search,6,17,13.1610446935307,1000000,1,2000003,3
heap_search,6,17,42.96004840892857,1000000,3,2000001,3
cd4,6,17,12.251085734183674,1000000,1,2000154,3
cd16,6,17,11.6261774824963,1000000,1,2000133,3
cd64,6,17,11.197305479664179,1000000,1,2000398,3
bee_search,8,23,21.918570359333362,1000000,2,4595117,3
beap_search,8,23,14.606213744403892,1000000,1,1999999,3
heap_search,8,23,42.98639597178571,1000000,4,2000001,3
cd4,8,23,12.431102994824016,1000000,2,2000225,3
cd16,8,23,11.575448328447445,1000000,2,2000002,3
cd64,8,23,11.938956840734228,1000000,1,2000300,3
bee_search,10,29,24.24005397702483,1000000,3,5263143,3
beap_search,10,29,16.007526390533332,1000000,2,2000007,3
heap_search,10,29,43.008817350394644,1000000,5,2000003,3
cd4,10,29,12.323514183572895,1000000,2,2000092,3
cd16,10,29,11.910027892559523,1000000,2,2000000,3
cd64,10,29,12.337309244707093,1000000,2,2000012,3
bee_search,12,35,28.244548590352938,1000000,5,6359860,3
beap_search,12,35,17.931960122537312,1000000,3,1999999,3
heap_search,12,35,45.21522513646617,1000000,7,2000003,3
cd4,12,35,12.87184905659164,1000000,3,2000002,3
cd16,12,35,12.971993300269547,1000000,3,2000011,3
cd64,12,35,12.287973425383829,1000000,3,2000010,3
bee_search,22,65,57.228659564519646,1000000,20,14019171,3
beap_search,22,65,21.43992930051407,1000000,7,1999999,3
heap_search,22,65,43.655290858181814,1000000,14,2000006,3
cd4,22,65,16.142913708870967,1000000,8,2000000,3
cd16,22,65,16.584698169337017,1000000,8,1999999,3
cd64,22,65,15.985804938482024,1000000,8,2000000,3
bee_search,4,11,18.240291921580546,1000000,0,3538705,4
beap_search,4,11,12.967168038387097,1000000,0,2000001,4
heap_search,4,11,40.28220343959732,1000000,1,2000000,4
cd4,4,11,11.967917449397707,1000000,0,2000129,4
cd16,4,11,11.368416172632577,1000000,0,2000017,4
cd64,4,11,11.596748702608696,1000000,0,2000230,4
bee_search,6,17,22.131238404841042,1000000,1,4700734,4
beap_search,6,17,12.441669768297656,1000000,1,2000003,4
heap_search,6,17,41.97567071422348,1000000,2,2000001,4
cd4,6,17,11.698079046686159,1000000,1,2000165,4
cd16,6,17,11.532826915369837,1000000,1,2000025,4
cd64,6,17,11.260526664727955,1000000,1,2000146,4
bee_search,8,23,23.850345271331975,1000000,2,5451460,4
beap_search,8,23,14.657448042735043,1000000,1,1999999,4
heap_search,8,23,43.590103106159425,1000000,5,2000001,4
cd4,8,23,11.840756940729785,1000000,2,2000093,4
cd16,8,23,11.940510498109454,1000000,2,2000037,4
cd64,8,23,11.410294951330798,1000000,2,2000004,4
bee_search,10,29,29.673710627390957,1000000,4,6497588,4
beap_search,10,29,14.505736092270531,1000000,2,1999999,4
heap_search,10,29,42.488933788692584,1000000,6,2000002,4
cd4,10,29,12.585288924737945,1000000,2,2000009,4
cd16,10,29,12.128429114040403,1000000,2,2000008,4
cd64,10,29,11.948852833333333,1000000,2,2000000,4
bee_search,12,35,32.69276995630285,1000000,5,7664222,4
beap_search,12,35,17.09485356880342,1000000,3,1999999,4
heap_search,12,35,42.33193619014084,1000000,7,2000003,4
cd4,12,35,13.540248531066121,1000000,3,2000001,4
cd16,12,35,12.45634304439834,1000000,3,2000001,4
cd64,12,35,12.636445658,1000000,3,2000006,4
bee_search,22,65,59.168568371443946,1000000,20,14242111,4
beap_search,22,65,21.928788466788323,1000000,7,1999999,4
heap_search,22,65,45.9298073057252,1000000,15,2000007,4
cd4,22,65,16.070430562115128,1000000,8,2000002,4
cd16,22,65,17.036420278297875,1000000,9,2000000,4
cd64,22,65,16.114937168187918,1000000,8,2000001,4
bee_search,4,11,17.475001920815135,1000000,0,3259968,5
beap_search,4,11,13.453602376681616,1000000,0,2000342,5
heap_search,4,11,40.119154152,1000000,2,2000000,5
cd4,4,11,12.11857175472076,1000000,0,2004774,5
cd16,4,11,11.761927116440273,1000000,0,2000156,5
cd64,4,11,11.445710939084842,1000000,0,2000766,5
bee_search,6,17,20.913490538327526,1000000,1,4411928,5
beap_search,6,17,12.45683405466805,1000000,1,2000008,5
heap_search,6,17,41.81978700801394,1000000,3,2000001,5
cd4,6,17,12.1634503556231,1000000,1,2000004,5
cd16,6,17,11.577795688331726,1000000,1,2000021,5
cd64,6,17,11.414129752281369,1000000,1,2000301,5
bee_search,8,23,27.85198042714844,1000000,3,6099523,5
beap_search,8,23,13.895778710763889,1000000,1,1999999,5
heap_search,8,23,43.01369896999242,1000000,4,2000002,5
cd4,8,23,12.386579686790505,1000000,2,2000010,5
cd16,8,23,11.583588322683397,1000000,2,2000009,5
cd64,8,23,11.922058685203575,1000000,2,2000245,5
bee_search,10,29,32.06149747888969,1000000,4,7302525,5
beap_search,10,29,14.97369250224439,1000000,2,1999999,5
heap_search,10,29,42.99256530428571,1000000,5,2000002,5
cd4,10,29,12.830043926328772,1000000,2,2000000,5
cd16,10,29,11.961856633864542,1000000,2,2000035,5
cd64,10,29,12.141445223356927,1000000,2,2000001,5
bee_search,12,35,38.30971984091385,1000000,6,8684961,5
beap_search,12,35,15.719235104180528,1000000,2,1999999,5
heap_search,12,35,41.11292655684931,1000000,6,2000003,5
cd4,12,35,12.851243088115632,1000000,3,2000018,5
cd16,12,35,12.923346873524112,1000000,3,2000044,5
cd64,12,35,12.404862175309917,1000000,3,2000007,5
bee_search,22,65,50.92209335635433,1000000,17,12363322,5
beap_search,22,65,23.432850247488258,1000000,7,2000000,5
heap_search,22,65,44.76951548671186,1000000,13,2000007,5
cd4,22,65,16.807726133650323,1000000,8,2000002,5
cd16,22,65,16.416718354172367,1000000,8,1999999,5
cd64,22,65,16.97356364582744,1000000,9,1999999,5
bee_search,4,11,20.784543806499553,1000000,1,3579959,1
beap_search,4,11,13.301798592469545,1000000,0,2000113,1
heap_search,4,11,41.15627593938356,1000000,1,2000000,1
cd4,4,11,12.02585401482966,1000000,1,2001052,1
cd16,4,11,12.301997105532788,1000000,1,2005392,1
